SampleCode,COUNTRY,INITIALTEMP,MINTEMP,MINSECS,MAXTEMP,MAXSECS,FINALTEMP,SECONDS,SCORE,ROASTIME,MINMINUTES,MAXMINUTES
CO14,COLOMBIA,383,176,28,406,546,406,547,89,9.12,0.47,9.1
ET01,ETHIOPIA,367,167,29,396,616,394,622,86.79,10.37,0.48,10.27
CO09,COLOMBIA,399,178,32,401,592,401,604,86.46,10.07,0.53,9.87
HO01,HONDURAS ,376,172,31,392,640,392,650,86.07,10.83,0.52,10.67
ES04,EL-SALVADOR,381,181,33,410,675,288,687,85.71,11.45,0.55,11.25
MX02,MEXICO,372,176,33,390,589,345,613,85.46,10.22,0.55,9.82
CO01,COLOMBIA,320,147,28,401,672,401,677,85.36,11.28,0.47,11.2
GT08,GUATEMALA,374,171,31,399,637,399,660,85.29,11,0.52,10.62
GT05,GUATEMALA,369,171,30,390,583,390,625,85.2,10.42,0.5,9.72
CO16,COLOMBIA,367,172,30,399,590,399,590,85.14,9.83,0.5,9.83
ET02,ETHIOPIA,376,180,30,394,602,394,605,85.04,10.08,0.5,10.03
ET04,ETHIOPIA,367,176,30,396,544,396,550,85,9.17,0.5,9.07
CR10,COSTA-RICA,361,183,31,396,608,396,619,84.92,10.32,0.52,10.13
ES01,EL-SALVADOR,379,174,31,397,621,397,627,84.92,10.45,0.52,10.35
IN07,INDIA,383,181,29,390,593,390,612,84.92,10.2,0.48,9.88
NI04,NICARAGUA,385,172,28,390,628,367,634,84.75,10.57,0.47,10.47
CO05,COLOMBIA,378,180,28,397,541,397,548,84.71,9.13,0.47,9.02
CO06,COLOMBIA,394,180,31,401,582,401,588,84.71,9.8,0.52,9.7
CR09,COSTA-RICA,372,176,29,392,612,392,613,84.71,10.22,0.48,10.2
CR03,COSTA-RICA,378,174,30,396,579,396,591,84.68,9.85,0.5,9.65
CO11,COLOMBIA,392,178,29,408,560,408,568,84.61,9.47,0.48,9.33
NI08,NICARAGUA,370,167,30,390,647,390,652,84.61,10.87,0.5,10.78
GT06,GUATEMALA,379,172,27,392,641,392,656,84.57,10.93,0.45,10.68
CO12,COLOMBIA,374,174,31,403,602,403,604,84.54,10.07,0.52,10.03
CR02,COSTA-RICA,369,176,34,399,546,399,569,84.54,9.48,0.57,9.1
CR08,COSTA-RICA,365,174,28,403,560,403,564,84.54,9.4,0.47,9.33
CO10,COLOMBIA,392,172,28,405,616,405,626,84.5,10.43,0.47,10.27
IN13,INDIA,376,176,28,385,600,385,621,84.5,10.35,0.47,10
ES09,EL-SALVADOR,392,178,29,410,588,410,594,84.46,9.9,0.48,9.8
ET03,ETHIOPIA,378,174,30,396,578,396,581,84.46,9.68,0.5,9.63
IN10,INDIA,376,174,30,388,618,388,618,84.46,10.3,0.5,10.3
GT01,GUATEMALA,356,162,30,394,644,394,651,84.4,10.85,0.5,10.73
ES08,EL-SALVADOR,385,180,30,414,598,412,602,84.39,10.03,0.5,9.97
GT09,GUATEMALA,356,356,0,385,163,385,169,84.39,2.82,0,2.72
CR07,COSTA-RICA,367,171,30,401,581,401,586,84.33,9.77,0.5,9.68
IN08,INDIA,388,180,28,390,670,390,672,84.33,11.2,0.47,11.17
GT07,GUATEMALA,396,172,29,403,668,403,675,84.32,11.25,0.48,11.13
CO02,COLOMBIA,365,171,28,408,554,408,555,84.21,9.25,0.47,9.23
CR04,COSTA-RICA,367,176,28,410,584,410,584,84.18,9.73,0.47,9.73
CO03,COLOMBIA,394,176,29,403,558,403,565,84.11,9.42,0.48,9.3
ES06,EL-SALVADOR,401,180,31,414,569,414,572,84.11,9.53,0.52,9.48
CO08,COLOMBIA,392,176,27,405,609,405,610,84,10.17,0.45,10.15
CR01,COSTA-RICA,372,178,26,401,564,399,567,84,9.45,0.43,9.4
IN05,INDIA,374,180,29,390,582,390,603,83.96,10.05,0.48,9.7
IN11,INDIA,369,174,30,390,609,390,617,83.92,10.28,0.5,10.15
GT04,GUATEMALA,356,169,32,399,714,399,722,83.9,12.03,0.53,11.9
CO15,COLOMBIA,331,176,25,399,593,397,602,83.89,10.03,0.42,9.88
ES10,EL-SALVADOR,352,174,29,406,579,406,589,83.86,9.82,0.48,9.65
NI07,NICARAGUA,378,167,30,390,634,390,635,83.82,10.58,0.5,10.57
GT10,GUATEMALA,385,172,28,396,642,396,652,83.79,10.87,0.47,10.7
DR01,DOMINICAN-REPUBLIC,374,176,28,396,577,396,582,83.68,9.7,0.47,9.62
CR11,COSTA-RICA,374,174,27,394,593,394,602,83.63,10.03,0.45,9.88
CO07,COLOMBIA,394,176,30,403,577,403,577,83.54,9.62,0.5,9.62
CR12,COSTA-RICA,378,172,30,392,580,390,581,83.46,9.68,0.5,9.67
ES07,EL-SALVADOR,217,176,21,403,594,403,596,83.46,9.93,0.35,9.9
CR06,COSTA RICA,369,172,28,397,553,397,566,83.36,9.43,0.47,9.22
IN09,INDIA,372,176,27,387,593,385,606,83.25,10.1,0.45,9.88
IN04,INDIA,387,180,30,388,603,388,606,83.21,10.1,0.5,10.05
IN03,INDIA,381,180,30,387,557,387,586,83.04,9.77,0.5,9.28
ES02,EL-SALVADOR,388,181,27,390,522,342,542,83,9.03,0.45,8.7
CO13,COLOMBIA,369,178,27,405,538,306,552,82.89,9.2,0.45,8.97
GT03,GUATEMALA,385,171,29,410,679,410,679,82.85,11.32,0.48,11.32
IN06,INDIA,378,178,34,385,584,385,609,82.75,10.15,0.57,9.73
ES05,EL-SALVADOR,390,181,31,401,678,401,681,82.67,11.35,0.52,11.3
MX01,MEXICO,378,178,28,399,596,399,601,82.36,10.02,0.47,9.93
NI03,NICARAGUA,383,169,31,394,687,369,691,82.11,11.52,0.52,11.45
NI09,NICARAGUA,378,172,29,396,655,396,658,82.11,10.97,0.48,10.92
NI02,NICARAGUA,374,176,29,401,572,390,579,81.25,9.65,0.48,9.53
IN01,INDIA,376,180,29,387,539,387,546,81.14,9.1,0.48,8.98
IN02,INDIA,360,174,30,390,598,390,605,77,10.08,0.5,9.97
